Food Code,ADD_SUGARS,,
11000000,0,,
11100000,0,,Values are per 100 grams of edible portion
11111000,0,,
11111100,0,,
11111150,0,,
11111160,0,,
11111170,0,,
11112110,0,,
11112120,0,,
11112130,0,,
11112210,0,,
11113000,0,,
11114300,0,,
11114320,0,,
11114330,0,,
11114350,0,,
11115000,0,,
11115100,0,,
11115200,0,,
11115300,0,,
11115400,0,,
11116000,0,,
11120000,0,,
11121100,0,,
11121210,0,,
11121300,0,,
11210050,0,,
11211050,0,,
11211400,0,,
11212050,0,,
11220000,11.71,,
11300100,0.57,,
11320000,0.77,,
11320100,0.53,,
11320200,0.77,,
11321000,1.78,,
11321100,1.6,,
11321200,1.6,,
11350000,0.95,,
11350010,1.66,,
11350020,0,,
11350030,0,,
11360000,0,,
11370000,0.6,,
11400000,0,,
11400010,0,,
11410000,0,,
11411010,0,,
11411100,0,,
11411200,0,,
11411300,0,,
11411390,0,,
11411400,0,,
11411410,0,,
11411420,0,,
11430000,1.19,,
11431000,0.7,,
11432000,1.19,,
11433000,1.33,,
11433990,1.72,,
11434000,1.9,,
11434010,1.72,,
11434020,1.79,,
11434090,0.71,,
11434100,1.19,,
11434200,0.71,,
11434300,0.71,,
11435000,1.32,,
11435010,1.29,,
11435020,1.32,,
11435030,1.32,,
11435100,1.88,,
11436000,1.24,,
11440010,0,,
11440020,0,,
11440030,0,,
11440040,0,,
11440050,0,,
11440060,0,,
11440070,0,,
11446000,1.12,,
11459990,1.74,,
11460000,1.74,,
11460100,1.58,,
11460500,2.71,,
11460510,2.66,,
11461200,3.45,,
11461210,1.74,,
11461220,1.58,,
11461250,1.57,,
11461260,1.73,,
11461300,2,,
11461320,1.85,,
11480010,0,,
11480020,1.5,,
11480030,1.52,,
11480040,1.5,,
11511000,0.76,,
11511100,1.03,,
11511200,1.04,,
11511300,0.76,,
11511400,1.13,,
11511550,0.5,,
11511600,1.13,,
11511610,0.76,,
11511700,0,,
11512010,2.38,,
11512020,2.41,,
11512030,3.37,,
11512100,2.54,,
11512110,2.54,,
11512120,3.21,,
11513000,1.2,,
11513100,1.2,,
11513150,1.2,,
11513200,1.2,,
11513300,1.2,,
11513310,2.01,,
11513350,0,,
11513355,0,,
11513360,0,,
11513365,0,,
11513370,0,,
11513375,0.82,,
11513380,1.2,,
11513381,1.2,,
11513382,1.2,,
11513383,1.2,,
11513384,1.2,,
11513385,2.01,,
11513390,0,,
11513391,0,,
11513392,0,,
11513393,0,,
11513394,0,,
11513395,0,,
11513400,1.9,,
11513500,1.9,,
11513550,1.9,,
11513600,1.9,,
11513700,1.9,,
11513750,2.65,,
11513800,0.85,,
11513801,0.85,,
11513802,0.85,,
11513803,0.85,,
11513804,0.85,,
11513805,1.61,,
