Food code,Main food description,food_id,
11111000,"Milk, whole",1,
11111100,"Milk, low sodium, whole",1,
11111150,"Milk, calcium fortified, whole",1,
11114350,"Milk, lactose free, whole",1,
11115300,"Buttermilk, whole",1,
11116000,"Goat's milk, whole",1,
11121100,"Milk, dry, reconstituted, whole",1,
11210050,"Milk, evaporated, NS as to fat content ",1,
11211050,"Milk, evaporated, whole ",1,
11100000,"Milk, NFS",1,
11112110,"Milk, reduced fat (2%)",1,
11112130,"Milk, acidophilus, reduced fat (2%)",1,
11114330,"Milk, lactose free, reduced fat (2%)",1,
11115200,"Buttermilk, reduced fat (2%)",1,
11211400,"Milk, evaporated, reduced fat (2%)",1,
11111160,"Milk, calcium fortified, low fat (1%)",1,
11112120,"Milk, acidophilus, low fat (1%)",1,
11112210,"Milk, low fat (1%)",1,
11114300,"Milk, lactose free, low fat (1%)",1,
11115100,"Buttermilk, low fat (1%)",1,
11115400,"Kefir, NS as to fat content",1,
11121210,"Milk, dry, reconstituted, low fat (1%)",1,
11111170,"Milk, calcium fortified, fat free (skim)",1,
11113000,"Milk, fat free (skim)",1,
11114320,"Milk, lactose free, fat free (skim)",1,
11115000,"Buttermilk, fat free (skim)",1,
11120000,"Milk, dry, reconstituted, NS as to fat content",1,
11121300,"Milk, dry, reconstituted, fat free (skim)",1,
11212050,"Milk, evaporated, fat free (skim)",1,
11220000,"Milk, condensed, sweetened",1,
11511100,"Chocolate milk, ready to drink, whole",1,
11513100,"Chocolate milk, made from dry mix with whole milk",1,
11513355,"Chocolate milk, made from reduced sugar mix with whole milk",1,
11513381,"Chocolate milk, made from dry mix with whole milk (Nesquik)",1,
11513391,"Chocolate milk, made from no sugar added dry mix with whole milk (Nesquik)",1,
11513500,"Chocolate milk, made from syrup with whole milk",1,
11513801,"Chocolate milk, made from light syrup with whole milk",1,
11513851,"Chocolate milk, made from sugar free syrup with whole milk",1,
11514110,"Hot chocolate / Cocoa, made with dry mix and whole milk",1,
11514320,"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk",1,
11519050,"Strawberry milk, whole",1,
11511200,"Chocolate milk, ready to drink, reduced fat",1204,
11512010,"Hot chocolate / Cocoa, ready to drink",1204,
11512100,"Hot chocolate / Cocoa, ready to drink, with whipped cream",1204,
11513000,"Chocolate milk, made from dry mix, NS as to type of milk",1204,
11513150,"Chocolate milk, made from dry mix with reduced fat milk",1204,
11513350,"Chocolate milk, made from reduced sugar mix, NS as to type of milk",1204,
11513360,"Chocolate milk, made from reduced sugar mix with reduced fat milk",1204,
11513380,"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)",1204,
11513382,"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)",1204,
11513390,"Chocolate milk, made from no sugar added dry mix, NS as to type of milk (Nesquik)",1204,
11513392,"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",1204,
11513400,"Chocolate milk, made from syrup, NS as to type of milk",1204,
11513550,"Chocolate milk, made from syrup with reduced fat milk",1204,
11513800,"Chocolate milk, made from light syrup, NS as to type of milk",1204,
11513802,"Chocolate milk, made from light syrup with reduced fat milk",1204,
11513850,"Chocolate milk, made from sugar free syrup, NS as to type of milk ",1204,
11513852,"Chocolate milk, made from sugar free syrup with reduced fat milk",1204,
