fdc_id,data_type,description,food_category_id,publication_date,total_sugar
172175,sr_legacy_food,"Cheese, blue",1,4/1/2019,
172177,sr_legacy_food,"Cheese, brie",1,4/1/2019,
172178,sr_legacy_food,"Cheese, camembert",1,4/1/2019,
173413,sr_legacy_food,"Cheese, caraway",1,4/1/2019,
173414,sr_legacy_food,"Cheese, cheddar (Includes foods for USDA's Food Distribution Program)",1,4/1/2019,
171295,sr_legacy_food,"Cheese, cheddar, nonfat or fat free",1,4/1/2019,
171292,sr_legacy_food,"Cheese, cheddar, reduced fat (Includes foods for USDA's Food Distribution Program)",1,4/1/2019,
170899,sr_legacy_food,"Cheese, cheddar, sharp, sliced",1,4/1/2019,
173415,sr_legacy_food,"Cheese, cheshire",1,4/1/2019,
173416,sr_legacy_food,"Cheese, colby",1,4/1/2019,
172179,sr_legacy_food,"Cheese, cottage, creamed, large or small curd",1,4/1/2019,
172180,sr_legacy_food,"Cheese, cottage, creamed, with fruit",1,4/1/2019,
173417,sr_legacy_food,"Cheese, cottage, lowfat, 1% milkfat",1,4/1/2019,
167703,sr_legacy_food,"Cheese, cottage, lowfat, 1% milkfat, lactose reduced",1,4/1/2019,
168114,sr_legacy_food,"Cheese, cottage, lowfat, 1% milkfat, no sodium added",1,4/1/2019,
172182,sr_legacy_food,"Cheese, cottage, lowfat, 2% milkfat",1,4/1/2019,
172181,sr_legacy_food,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",1,4/1/2019,
173418,sr_legacy_food,"Cheese, cream",1,4/1/2019,
172207,sr_legacy_food,"Cheese, cream, fat free",1,4/1/2019,
169079,sr_legacy_food,"Cheese, cream, low fat",1,4/1/2019,
172222,sr_legacy_food,"Cheese, dry white, queso seco",1,4/1/2019,
173419,sr_legacy_food,"Cheese, edam",1,4/1/2019,
173420,sr_legacy_food,"Cheese, feta",1,4/1/2019,
170843,sr_legacy_food,"Cheese, fontina",1,4/1/2019,
172223,sr_legacy_food,"Cheese, fresh, queso fresco",1,4/1/2019,
171240,sr_legacy_food,"Cheese, gjetost",1,4/1/2019,
172197,sr_legacy_food,"Cheese, goat, hard type",1,4/1/2019,
173433,sr_legacy_food,"Cheese, goat, semisoft type",1,4/1/2019,
173435,sr_legacy_food,"Cheese, goat, soft type",1,4/1/2019,
171241,sr_legacy_food,"Cheese, gouda",1,4/1/2019,
171242,sr_legacy_food,"Cheese, gruyere",1,4/1/2019,
171243,sr_legacy_food,"Cheese, limburger",1,4/1/2019,
173439,sr_legacy_food,"Cheese, low fat, cheddar or colby",1,4/1/2019,
173440,sr_legacy_food,"Cheese, low-sodium, cheddar or colby",1,4/1/2019,
171288,sr_legacy_food,"Cheese, Mexican blend",1,4/1/2019,
172216,sr_legacy_food,"Cheese, Mexican, blend, reduced fat",1,4/1/2019,
172201,sr_legacy_food,"Cheese, mexican, queso anejo",1,4/1/2019,
173437,sr_legacy_food,"Cheese, mexican, queso asadero",1,4/1/2019,
173438,sr_legacy_food,"Cheese, mexican, queso chihuahua",1,4/1/2019,
170898,sr_legacy_food,"Cheese, mexican, queso cotija",1,4/1/2019,
170844,sr_legacy_food,"Cheese, monterey",1,4/1/2019,
168098,sr_legacy_food,"Cheese, monterey, low fat",1,4/1/2019,
171244,sr_legacy_food,"Cheese, mozzarella, low moisture, part-skim",1,4/1/2019,
170900,sr_legacy_food,"Cheese, mozzarella, low moisture, part-skim, shredded",1,4/1/2019,
167735,sr_legacy_food,"Cheese, mozzarella, low sodium",1,4/1/2019,
169051,sr_legacy_food,"Cheese, mozzarella, nonfat",1,4/1/2019,
170847,sr_legacy_food,"Cheese, mozzarella, part skim milk",1,4/1/2019,
170845,sr_legacy_food,"Cheese, mozzarella, whole milk",1,4/1/2019,
170846,sr_legacy_food,"Cheese, mozzarella, whole milk, low moisture",1,4/1/2019,
171245,sr_legacy_food,"Cheese, muenster",1,4/1/2019,
169050,sr_legacy_food,"Cheese, muenster, low fat",1,4/1/2019,
171246,sr_legacy_food,"Cheese, neufchatel",1,4/1/2019,
173452,sr_legacy_food,"Cheese, parmesan, dry grated, reduced fat",1,4/1/2019,
171247,sr_legacy_food,"Cheese, parmesan, grated",1,4/1/2019,
170848,sr_legacy_food,"Cheese, parmesan, hard",1,4/1/2019,
167705,sr_legacy_food,"Cheese, parmesan, low sodium",1,4/1/2019,
173431,sr_legacy_food,"Cheese, parmesan, shredded",1,4/1/2019,
170849,sr_legacy_food,"Cheese, port de salut",1,4/1/2019,
170850,sr_legacy_food,"Cheese, provolone",1,4/1/2019,
172215,sr_legacy_food,"Cheese, provolone, reduced fat",1,4/1/2019,
171248,sr_legacy_food,"Cheese, ricotta, part skim milk",1,4/1/2019,
170851,sr_legacy_food,"Cheese, ricotta, whole milk",1,4/1/2019,
171249,sr_legacy_food,"Cheese, romano",1,4/1/2019,
171250,sr_legacy_food,"Cheese, roquefort",1,4/1/2019,
171251,sr_legacy_food,"Cheese, swiss",1,4/1/2019,
168141,sr_legacy_food,"Cheese, swiss, low fat",1,4/1/2019,
168124,sr_legacy_food,"Cheese, swiss, low sodium",1,4/1/2019,
170897,sr_legacy_food,"Cheese, Swiss, nonfat or fat free",1,4/1/2019,
170852,sr_legacy_food,"Cheese, tilsit",1,4/1/2019,
170874,sr_legacy_food,"Milk, buttermilk, fluid, cultured, lowfat",1,4/1/2019,
167697,sr_legacy_food,"Milk, buttermilk, fluid, cultured, reduced fat",1,4/1/2019,
172225,sr_legacy_food,"Milk, buttermilk, fluid, whole",1,4/1/2019,
170878,sr_legacy_food,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",1,4/1/2019,
172194,sr_legacy_food,"Milk, canned, evaporated, with added vitamin A",1,4/1/2019,
171276,sr_legacy_food,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",1,4/1/2019,
171268,sr_legacy_food,"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D",1,4/1/2019,
